"name","muscle_group","type","level","priority","contraindications","substitute_for","prehab_target"
"Жим штанги лежа","chest","{compound,push,upper}","{beginner,intermediate,advanced}","main","{}","{}",""
"Жим штанги лежа на наклонной скамье","chest","{compound,push,upper}","{beginner,intermediate,advanced}","secondary","{}","{}",""
"Жим гантелей лежа","chest","{compound,push,upper}","{beginner,intermediate,advanced}","secondary","{}","{}",""
"Жим гантелей лежа на наклонной скамье","chest","{compound,push,upper}","{beginner,intermediate,advanced}","secondary","{}","{}",""
"Жим сидя в тренажере","chest","{compound,push,upper}","{beginner,intermediate,advanced}","secondary","{}","{}",""
"Разведение гантелей лежа","chest","{isolation,push,upper}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Бабочка","chest","{isolation,push,upper}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Сведение рук в кроссовере","chest","{isolation,push,upper}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Тяга верхнего блока","back","{compound,pull,upper}","{beginner,intermediate,advanced}","main","{}","{}",""
"Тяга верхнего блока обратным хватом","back","{compound,pull,upper}","{beginner,intermediate,advanced}","secondary","{}","{}",""
"Тяга горизонтального блока к груди","back","{compound,pull,upper}","{beginner,intermediate,advanced}","main","{}","{}",""
"Гребная тяга в тренажере","back","{compound,pull,upper}","{beginner,intermediate,advanced}","secondary","{}","{}",""
"Хаммер вертикальный","back","{compound,pull,upper}","{beginner,intermediate,advanced}","secondary","{}","{}",""
"Пулловер","back","{isolation,pull,upper}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Тяга штанги в наклоне","back","{compound,pull,upper}","{beginner,intermediate,advanced}","main","{lower_back}","{}",""
"Тяга гантелей в наклоне","back","{compound,pull,upper}","{beginner,intermediate,advanced}","secondary","{lower_back}","{}",""
"Шраги","back","{isolation,pull,upper}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Подтягивания в гравитроне","back","{compound,pull,upper}","{beginner,intermediate,advanced}","main","{}","{}",""
"Гиперэкстензия","back","{accessory,lower}","{beginner,intermediate,advanced}","accessory","{lower_back}","{}",""
"Тяга Т-образного грифа","back","{compound,pull,upper}","{beginner,intermediate,advanced}","main","{lower_back}","{}",""
"Приседания со штангой","quads","{compound,lower,squat}","{beginner,intermediate,advanced}","main","{lower_back,knee}","{}",""
"Приседания со штангой в смите","quads","{compound,lower,squat}","{beginner,intermediate,advanced}","secondary","{lower_back,knee}","{}",""
"Разгибание голени","quads","{isolation,lower}","{beginner,intermediate,advanced}","accessory","{knee}","{}",""
"Выпады с гантелями","quads","{compound,lower}","{beginner,intermediate,advanced}","secondary","{knee}","{}",""
"Жим платформы ногами","quads","{compound,lower}","{beginner,intermediate,advanced}","main","{knee}","{}",""
"Жим платформы паралельный","quads","{compound,lower}","{beginner,intermediate,advanced}","secondary","{knee}","{}",""
"Гакк приседания","quads","{compound,lower,squat}","{beginner,intermediate,advanced}","secondary","{knee}","{}",""
"Приседания гоблет","quads","{compound,lower,squat}","{beginner,intermediate,advanced}","secondary","{knee}","{}",""
"Сгибание голени","hamstrings","{isolation,lower}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Сгибание голени сидя","hamstrings","{isolation,lower}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Приседания со штангой в смите","hamstrings","{compound,lower,squat}","{beginner,intermediate,advanced}","secondary","{lower_back,knee}","{}",""
"Жим ногами высокая пост. стопы","hamstrings","{compound,lower}","{beginner,intermediate,advanced}","secondary","{knee}","{}",""
"Сгибание голени в кроссовере","hamstrings","{isolation,lower}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Мертвая тяга","hamstrings","{compound,lower,hinge}","{beginner,intermediate,advanced}","main","{lower_back}","{}",""
"Приседание плие","glutes","{compound,lower}","{beginner,intermediate,advanced}","secondary","{knee}","{}",""
"Румынская тяга штанги","glutes","{compound,lower,hinge}","{beginner,intermediate,advanced}","secondary","{lower_back}","{}",""
"Ягодичный мостик","glutes","{compound,lower}","{beginner,intermediate,advanced}","main","{}","{}",""
"Болгарские приседания","glutes","{compound,lower}","{beginner,intermediate,advanced}","secondary","{knee}","{}",""
"Разгибание бедра в кроссовере","glutes","{isolation,lower}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Приведение бедра","glutes","{isolation,lower}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Отведение бедра","glutes","{isolation,lower}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Гиперэкстензия на ягодицы","glutes","{accessory,lower}","{beginner,intermediate,advanced}","accessory","{lower_back}","{}",""
"Жим гантелей сидя","shoulders_front","{compound,push,upper}","{beginner,intermediate,advanced}","secondary","{shoulder}","{}",""
"Жим арнольда","shoulders_front","{compound,push,upper}","{beginner,intermediate,advanced}","secondary","{shoulder}","{}",""
"Армейский жим стоя","shoulders_front","{compound,push,upper}","{beginner,intermediate,advanced}","main","{shoulder}","{}",""
"Жим штанги сидя в смите","shoulders_front","{compound,push,upper}","{beginner,intermediate,advanced}","secondary","{shoulder}","{}",""
"Махи вперед с гантелями","shoulders_front","{isolation,push,upper}","{beginner,intermediate,advanced}","accessory","{shoulder}","{}",""
"Жим от плеч в тренажере","shoulders_front","{compound,push,upper}","{beginner,intermediate,advanced}","secondary","{shoulder}","{}",""
"Махи с гантелями сидя","shoulders_side","{isolation,upper}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Махи с гантелями стоя","shoulders_side","{isolation,upper}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Протяжка со штангой","shoulders_side","{compound,upper}","{beginner,intermediate,advanced}","secondary","{shoulder}","{}",""
"Махи в кроссовере","shoulders_side","{isolation,upper}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Отведение плеча в кроссовере","shoulders_rear","{isolation,upper,pull}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Отведение плеча в бабочке","shoulders_rear","{isolation,upper,pull}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Отведение плеча на скамье с гантелями","shoulders_rear","{isolation,upper,pull}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Cгибание предплечья Larry Scott","biceps","{isolation,upper}","{beginner,intermediate,advanced}","secondary","{}","{}",""
"Сгибание предплечья со штангой","biceps","{compound,upper}","{beginner,intermediate,advanced}","main","{}","{}",""
"Сгибание предплечья с гантелями","biceps","{isolation,upper}","{beginner,intermediate,advanced}","secondary","{}","{}",""
"Сгибание предплечья в кроссовере","biceps","{isolation,upper}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Боковая тяга тросса на бицепс","biceps","{isolation,upper}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Фрунцузский жим с гантелями","triceps","{isolation,upper}","{beginner,intermediate,advanced}","secondary","{}","{}",""
"Фрунцузский жим с штангой","triceps","{isolation,upper}","{beginner,intermediate,advanced}","secondary","{}","{}",""
"Жим гантели из-за головы","triceps","{isolation,upper}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Разгибание предплечья в кроссовере","triceps","{isolation,upper}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Разгибание предплечья из-за голов. в кроссоверы","triceps","{isolation,upper}","{beginner,intermediate,advanced}","accessory","{}","{}",""
"Жим лежа штанги узким хватом","triceps","{compound,push,upper}","{beginner,intermediate,advanced}","main","{}","{}",""
"Поочередное разгибание предплечья в кроссовере","triceps","{isolation,upper}","{beginner,intermediate,advanced}","accessory","{}","{}",""
